查询到 200 条记录：

| 接收时间 | 风场 | 风机 | 状态 | 特征1 | 特征2 | 特征3 |
| 2026-05-05 09:55:54.0 | 10001 | 2 | 正常 | 1.54 | 0.76 | 1.08 |
| 2026-05-05 09:55:49.0 | 10001 | 2 | 正常 | 2.10 | 0.73 | 1.18 |
| 2026-05-05 09:55:44.0 | 10001 | 2 | 正常 | 1.17 | 0.69 | 1.07 |
| 2026-05-05 09:55:39.0 | 10001 | 2 | 正常 | 2.23 | 1.03 | 1.17 |
| 2026-05-05 09:55:34.0 | 10001 | 2 | 未连接 | 0.00 | 0.00 | 0.00 |
| 2026-05-05 09:55:29.0 | 10001 | 2 | 正常 | 2.08 | 0.94 | 0.89 |
| 2026-05-05 09:55:24.0 | 10001 | 2 | 正常 | 1.13 | 0.90 | 0.85 |
| 2026-05-05 09:55:19.0 | 10001 | 2 | 正常 | 1.75 | 0.60 | 1.18 |
| 2026-05-05 09:55:14.0 | 10001 | 2 | 正常 | 1.43 | 0.65 | 1.14 |
| 2026-05-05 09:55:09.0 | 10001 | 2 | 正常 | 1.63 | 0.59 | 1.20 |
| 2026-05-05 09:51:25.0 | 10001 | 2 | 正常 | 1.34 | 0.98 | 0.93 |
| 2026-05-05 09:51:20.0 | 10001 | 2 | 正常 | 1.88 | 1.07 | 1.11 |
| 2026-05-05 09:51:15.0 | 10001 | 2 | 正常 | 1.45 | 0.84 | 0.97 |
| 2026-05-05 09:51:10.0 | 10001 | 2 | 正常 | 1.67 | 0.82 | 1.28 |
| 2026-05-05 09:51:04.0 | 10001 | 2 | 正常 | 1.69 | 0.81 | 1.27 |
| 2026-05-05 09:50:59.0 | 10001 | 2 | 正常 | 1.41 | 0.73 | 1.24 |
| 2026-05-05 09:50:54.0 | 10001 | 2 | 故障 | 5.92 | 3.92 | 3.73 |
| 2026-05-05 09:50:49.0 | 10001 | 2 | 正常 | 1.73 | 0.52 | 1.29 |
| 2026-05-05 09:50:44.0 | 10001 | 2 | 正常 | 1.34 | 1.08 | 0.76 |
| 2026-05-05 09:50:39.0 | 10001 | 2 | 正常 | 1.28 | 0.74 | 0.87 |
| 2026-05-05 09:50:34.0 | 10001 | 2 | 正常 | 2.04 | 0.65 | 1.05 |
| 2026-05-05 09:50:29.0 | 10001 | 2 | 正常 | 2.15 | 0.56 | 1.03 |
| 2026-05-05 09:50:24.0 | 10001 | 2 | 正常 | 1.36 | 0.95 | 1.05 |
| 2026-05-05 09:50:19.0 | 10001 | 2 | 故障 | 4.72 | 3.33 | 2.12 |
| 2026-05-05 09:50:14.0 | 10001 | 2 | 正常 | 1.95 | 0.56 | 1.06 |
| 2026-05-05 09:50:09.0 | 10001 | 2 | 正常 | 1.75 | 1.04 | 0.92 |
| 2026-05-05 09:50:04.0 | 10001 | 2 | 正常 | 1.69 | 1.02 | 1.28 |
| 2026-05-05 09:49:59.0 | 10001 | 2 | 正常 | 1.47 | 0.71 | 1.21 |
| 2026-05-05 09:49:54.0 | 10001 | 2 | 正常 | 2.19 | 0.74 | 1.09 |
| 2026-05-05 09:49:49.0 | 10001 | 2 | 正常 | 1.91 | 0.79 | 1.28 |
| 2026-05-05 09:49:44.0 | 10001 | 2 | 正常 | 2.17 | 0.66 | 0.83 |
| 2026-05-05 09:49:39.0 | 10001 | 2 | 正常 | 1.95 | 0.56 | 1.25 |
| 2026-05-05 09:49:34.0 | 10001 | 2 | 正常 | 2.15 | 0.75 | 0.98 |
| 2026-05-05 09:49:29.0 | 10001 | 2 | 正常 | 1.62 | 0.95 | 1.18 |
| 2026-05-05 09:49:24.0 | 10001 | 2 | 正常 | 1.86 | 0.62 | 1.23 |
| 2026-05-05 09:49:19.0 | 10001 | 2 | 正常 | 1.88 | 0.75 | 0.78 |
| 2026-05-05 09:49:14.0 | 10001 | 2 | 正常 | 2.06 | 0.87 | 0.93 |
| 2026-05-05 09:49:09.0 | 10001 | 2 | 正常 | 1.56 | 0.84 | 1.16 |
| 2026-05-05 09:49:04.0 | 10001 | 2 | 正常 | 1.73 | 0.69 | 1.15 |
| 2026-05-05 09:48:59.0 | 10001 | 2 | 正常 | 1.21 | 0.87 | 1.30 |
| 2026-05-05 09:48:54.0 | 10001 | 2 | 故障 | 3.79 | 2.06 | 2.14 |
| 2026-05-05 09:48:49.0 | 10001 | 2 | 正常 | 2.12 | 0.85 | 1.00 |
| 2026-05-05 09:48:44.0 | 10001 | 2 | 正常 | 1.91 | 0.69 | 0.80 |
| 2026-05-05 09:48:39.0 | 10001 | 2 | 正常 | 1.32 | 0.82 | 1.01 |
| 2026-05-05 09:48:34.0 | 10001 | 2 | 正常 | 2.21 | 0.52 | 0.84 |
| 2026-05-02 23:58:41.0 | 10001 | 2 | 正常 | 1.52 | 0.98 | 1.16 |
| 2026-05-02 23:58:18.0 | 10001 | 2 | 故障 | 1.32 | 1.20 | 0.79 |
| 2026-05-02 23:57:24.0 | 10001 | 2 | 正常 | 0.97 | 1.12 | 0.85 |
| 2026-05-02 23:57:22.0 | 10001 | 2 | 正常 | 1.55 | 1.80 | 0.70 |
| 2026-05-02 23:56:49.0 | 10001 | 2 | 正常 | 1.65 | 1.44 | 0.85 |
| 2026-05-02 23:56:28.0 | 10001 | 2 | 正常 | 1.70 | 1.16 | 1.27 |
| 2026-05-02 23:55:55.0 | 10001 | 2 | 正常 | 1.15 | 0.63 | 0.31 |
| 2026-05-02 23:54:42.0 | 10001 | 2 | 正常 | 1.11 | 0.38 | 1.28 |
| 2026-05-02 23:53:17.0 | 10001 | 2 | 正常 | 0.73 | 0.78 | 0.74 |
| 2026-05-02 23:52:16.0 | 10001 | 2 | 正常 | 1.69 | 0.57 | 0.70 |
| 2026-05-02 23:51:36.0 | 10001 | 2 | 正常 | 1.49 | 0.98 | 0.30 |
| 2026-05-02 23:50:29.0 | 10001 | 2 | 正常 | 1.05 | 0.72 | 0.81 |
| 2026-05-02 23:50:04.0 | 10001 | 2 | 正常 | 1.53 | 1.72 | 1.47 |
| 2026-05-02 23:49:08.0 | 10001 | 2 | 正常 | 1.80 | 0.65 | 1.03 |
| 2026-05-02 23:48:50.0 | 10001 | 2 | 正常 | 0.93 | 1.50 | 0.45 |
| 2026-05-02 23:47:44.0 | 10001 | 2 | 正常 | 0.36 | 0.57 | 1.38 |
| 2026-05-02 23:47:44.0 | 10001 | 2 | 正常 | 1.52 | 0.81 | 0.94 |
| 2026-05-02 23:46:04.0 | 10001 | 2 | 正常 | 0.72 | 1.07 | 1.37 |
| 2026-05-02 23:45:27.0 | 10001 | 2 | 正常 | 0.73 | 1.29 | 0.51 |
| 2026-05-02 23:43:44.0 | 10001 | 2 | 正常 | 0.60 | 1.26 | 1.42 |
| 2026-05-02 23:42:10.0 | 10001 | 2 | 正常 | 0.57 | 0.77 | 1.44 |
| 2026-05-02 23:41:57.0 | 10001 | 2 | 正常 | 0.43 | 0.37 | 1.14 |
| 2026-05-02 23:41:40.0 | 10001 | 2 | 正常 | 1.59 | 0.91 | 0.59 |
| 2026-05-02 23:41:31.0 | 10001 | 2 | 正常 | 0.88 | 0.67 | 0.76 |
